label,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,GrayLevelNonUniformity,GrayLevelVariance,HighGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis
0,7.1239944,236.432,0.17763487,4.4797215,68.421486,221.58524,3245.924,14.093914,50729.887,0.8500084,0.017074592,0.36220095,940.4618,0.0007715914
0,6.0142303,65.76634,0.049411226,32.40726,442.15854,1.1827061,36.39369,173.87604,6843.289,4.795302,0.034531415,0.023039484,0.77298504,0.0010232124
0,6.9290934,264.04584,0.19838154,2.4572318,60.471073,40.816032,1507.2284,10.959429,15603.53,0.008362121,0.0007505386,0.29483747,460.9173,0.00022671503
0,6.9377847,176.38994,0.13252437,74.71736,159.64613,596.5973,1522.2013,136.25319,12870.37,131.15742,0.3276765,0.29935297,596.8992,0.0017523855
0,7.2148094,233.24493,0.17524037,3.9364402,52.579266,57.340397,3018.7935,14.262209,40321.53,0.0055072526,0.00035793215,0.285881,874.653,0.0001002999
0,6.096878,62.238167,0.046760455,37.30158,464.2487,0.8360435,25.275732,215.36664,5724.6133,8.870814,0.0486993,0.019466959,0.44967693,0.0019509664
0,7.3666196,251.13072,0.18867823,2.8395736,42.487602,94.859085,2061.9248,11.580015,21643.71,0.0076112603,0.0005911271,0.31182563,690.92426,0.00016858031
0,7.2330384,351.07965,0.26377133,1.5415715,37.981216,129.87273,3408.3171,6.4906087,21284.285,0.0023941353,0.0004207433,0.45518136,1544.5503,0.00022019008
0,7.153823,193.49738,0.14537744,5.6260486,71.739296,41.179882,3277.858,20.35988,61343.043,0.006981691,0.00031990896,0.22038725,764.9503,6.659343e-05
0,6.7369046,167.89406,0.1261413,5.340508,108.87979,23.27464,1714.4553,23.6867,40555.58,0.014366358,0.0006810242,0.18435223,301.99515,0.00016179301
1,7.63798,453.2179,0.3405093,0.8715545,21.64012,338.8657,6466.0737,4.284748,28371.541,0.0008398958,0.00020035935,0.5433588,3489.688,0.00011154792
0,7.149871,256.7791,0.19292195,2.785208,58.313297,56.884903,3866.77,11.507889,42303.785,0.0032593312,0.00027323145,0.30439976,1215.9716,8.131355e-05
0,6.2945867,69.622086,0.052308105,38.200855,279.30655,3.4861436,21.890308,183.04959,3862.0347,62.06024,0.21512845,0.02397398,0.5248053,0.0030928892
0,6.764493,221.87753,0.16669987,3.6247072,87.88054,36.17771,1949.3036,14.687453,29204.146,0.007835476,0.0006752119,0.26219285,493.85236,0.00025777423
0,7.0832186,320.90234,0.24109867,2.0227935,47.598045,84.86583,2674.8423,7.7633357,20864.828,0.0032558693,0.0004752485,0.42820293,1106.3262,0.00022917558
0,7.141223,269.14426,0.20221207,2.5986934,51.17731,69.735466,3494.931,10.574756,39487.895,0.0030485317,0.0003145571,0.32588056,1073.1625,0.00010918937
0,6.8845267,222.81216,0.16740209,3.677954,77.87753,39.070007,1450.5935,14.403456,18654.629,0.011810145,0.00077027583,0.2775102,440.47525,0.00021021023
0,7.2802906,182.03831,0.13676809,5.1175227,65.90909,49.27479,1855.6206,21.534937,35010.55,0.01405061,0.0005953648,0.191217,407.3927,0.000100444464
0,7.1444626,320.69797,0.24094513,1.8078,43.105183,82.27308,2356.0796,7.512397,17399.44,0.0036941352,0.0005327701,0.4176597,959.44385,0.0002573422
0,6.8919926,135.50038,0.10180344,50.062965,132.74306,467.95154,1580.6326,99.23141,24877.787,88.977776,0.26353335,0.22176935,392.10846,0.001813902
0,7.2294116,261.01953,0.19610783,2.5567813,47.30804,65.48998,2057.09,11.129226,20858.475,0.0067485957,0.0005532418,0.30079812,666.5895,0.00015408693
0,6.7906127,132.44704,0.09950942,10.892212,125.41623,9.380462,77.19835,51.054096,4814.9053,1.1682996,0.03234743,0.065918416,4.5075197,0.0029188963
0,7.1268134,337.9076,0.25387496,1.7747716,47.691208,201.53839,4633.5366,7.2238917,37186.39,0.0020899998,0.0004127583,0.4209659,1777.0665,0.00020563064
0,5.8678794,196.85574,0.14790064,101.930824,326.15854,788.73474,1383.4937,222.7656,8809.988,220.13937,0.48968622,0.27853316,642.0727,0.0024158086
