label,10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,Mean,MeanAbsoluteDeviation,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance
0,1107.0,1670.0,2618802400.0,5.234443,283.5,6.551269,2003.0,1374.414,196.75009,1384.0,114.0,1889.0,119.65033,1402.692,-1.3819523,2618802400.0,0.03437477,78531.234
0,755.0,1165.0,1220934900.0,4.646573,233.0,2.9627588,1361.0,944.3704,130.32004,930.0,313.0,1048.0,95.859695,957.76117,0.05197834,1220934900.0,0.045432813,25471.059
0,573.0,817.0,643861250.0,3.9067175,128.5,3.2736924,1040.0,689.10895,75.22543,678.0,457.0,583.0,52.84236,695.516,0.5307999,643861250.0,0.077443,8871.351
0,318.0,471.0,214261550.0,3.3383598,72.0,5.760601,541.0,395.5312,49.479885,405.0,78.0,463.0,31.284607,401.2205,-1.1755447,214261550.0,0.12479107,4532.9565
0,1081.0,1366.0,2005210400.0,4.402815,143.0,12.421669,1711.0,1216.0616,106.1728,1221.0,179.0,1532.0,59.781933,1227.4137,-1.678768,2005210400.0,0.06306585,27738.412
0,518.0,1407.0,1678351000.0,5.4130735,332.0,3.2163754,1689.0,1075.3073,250.85033,1159.0,138.0,1551.0,163.46518,1122.9292,-0.99086607,1678351000.0,0.029541744,104684.164
0,900.0,1080.0,1330661400.0,3.602056,82.0,4.547807,1285.0,996.54095,58.841164,993.0,775.0,510.0,35.457817,999.8728,0.7146791,1330661400.0,0.10660937,6651.7583
0,669.0,1095.0,1088827900.0,4.77293,219.5,3.692169,1337.0,887.5973,134.57605,903.0,242.0,1095.0,90.956116,904.4625,-0.5469,1088827900.0,0.04409388,30223.547
0,0.0,214.0,42196624.0,2.1499598,33.0,5.357359,269.0,165.8302,42.584896,184.0,0.0,269.0,44.389114,178.05322,-1.9116447,42196624.0,0.26885384,4203.292
0,0.0,1476.0,894006400.0,4.1860733,1051.0,1.8213567,1983.0,555.94666,545.4439,356.0,0.0,1983.0,465.8631,819.561,0.52726763,894006400.0,0.2213974,362603.53
0,0.0,277.0,62759720.0,2.5125582,160.5,2.115785,297.0,186.38843,95.78377,244.0,0.0,297.0,99.43524,217.14581,-0.9496084,62759720.0,0.21131928,12411.659
0,216.0,310.0,99979710.0,2.5148282,36.0,9.335596,348.0,270.35764,30.020636,280.0,27.0,321.0,16.162436,274.07343,-2.1517816,99979710.0,0.23698704,2022.993
0,898.0,1162.0,1421258400.0,3.9879506,155.0,3.629033,1296.0,1028.2968,83.51889,1032.0,518.0,778.0,62.79982,1033.3501,-0.33581468,1421258400.0,0.06916104,10418.231
0,0.0,156.0,13953355.0,2.5875816,134.5,1.5274463,201.0,81.03907,55.98612,98.0,0.0,201.0,53.51806,102.38829,-0.20715262,13953355.0,0.19715776,3916.0315
0,0.0,1345.0,1382963500.0,5.176547,682.5,2.4504447,1523.0,914.8918,385.5641,1121.0,0.0,1523.0,384.2839,1019.33356,-0.86608565,1382963500.0,0.03875847,202013.88
0,536.0,1168.0,1158421600.0,5.0752354,265.5,4.223968,1323.0,899.5424,184.79102,935.0,94.0,1229.0,116.22887,932.91974,-1.1336648,1158421600.0,0.036035452,61162.67
0,0.0,1281.0,901204000.0,4.363586,1116.0,1.423124,1643.0,625.837,488.195,745.0,0.0,1643.0,462.01062,822.8535,-0.04713393,901204000.0,0.15118814,285415.97
0,861.0,1418.0,1676981000.0,4.692595,140.0,10.211502,2645.0,1079.2946,187.28943,997.0,653.0,1992.0,70.85574,1122.4708,2.6261048,1676981000.0,0.059434023,95063.98
0,787.0,1288.0,1294996700.0,4.48864,269.0,2.760782,1489.0,967.3133,160.41669,887.0,710.0,779.0,116.57653,986.3824,0.98534244,1294996700.0,0.059480313,37255.2
0,444.0,662.0,420451460.0,3.8699844,114.0,5.523023,845.0,554.3253,70.69892,557.0,0.0,845.0,47.825855,562.0422,-0.49388197,420451460.0,0.08273551,8614.845
0,669.0,992.0,982886460.0,4.2603593,143.5,4.221094,1115.0,849.3809,98.11016,869.0,328.0,787.0,62.726757,859.3353,-1.0456808,982886460.0,0.06472992,17009.223
