label,Busyness,Coarseness,Complexity,Contrast,Strength
0,1.0117224,0.007636811,35.18759,0.026283514,0.5407025
0,1.3016398,0.009857295,24.906542,0.033108186,0.43262324
0,0.54959935,0.006207455,51.915638,0.010492683,0.6992511
0,0.039485186,0.009889758,2679.2708,0.31079516,8.301048
0,1.7043146,0.0052876114,12.417062,0.025685217,0.09786459
0,0.01852612,0.0069280546,8693.994,0.092709474,28.874254
0,11.986156,0.0062936284,0.8848805,0.030881297,0.015642319
0,0.21081476,0.0014073255,21767.898,1.404266,50.452274
0,1.5146751,0.010593821,16.214787,0.090791844,0.4507774
0,0.16291264,0.006465293,115.62307,0.039797727,0.6177831
0,0.3379461,0.002498324,5774.549,0.7415343,28.074348
0,0.20431109,0.006217954,363.50497,0.06695767,1.2566016
0,0.027040318,0.008923905,5198.3716,0.15063913,17.562243
0,0.02212344,0.01173653,3015.464,0.09070531,17.991
0,0.075228035,0.0052669896,9097.879,1.1535821,20.591312
1,0.8063137,0.0029900705,578.3524,0.6222593,2.3614056
0,3.0368025,0.006798144,9.016691,0.032554053,0.15978707
0,0.11520292,0.0072447895,635.26556,0.08687079,2.4209058
0,0.032394916,0.012721142,1724.5619,0.17440617,19.127724
0,0.10961068,0.00579209,6719.7593,0.77937615,6.1755304
0,0.027326642,0.009550064,4434.9307,0.11307421,16.776184
0,0.058956582,0.007517298,1062.493,0.0648249,4.04057
0,0.8107232,0.010464967,25.755981,0.03443928,0.59121114
0,0.04166191,0.007451944,5478.648,0.19995244,8.004106
0,0.8533389,0.006190587,78.69823,0.23834364,0.8875731
0,0.04771591,0.005217645,5291.6685,0.16631083,8.930942
0,0.6262351,0.0066242376,64.59801,0.026953626,1.1483908
0,0.38152274,0.0013424801,10595.833,1.9326742,21.064585
0,1.7081062,0.007227097,18.87015,0.021242622,0.22304772
0,0.082836196,0.007838666,1195.7373,0.14207307,3.5851448
0,0.11535686,0.00266552,14421.245,1.3761271,53.13223
0,0.016199585,0.012209201,8843.451,0.17781718,43.655674
0,0.9791132,0.0010709872,3268.0857,2.0721262,7.3371005
0,0.37600738,0.0068410328,107.411804,0.024178494,1.2563733
0,0.03387888,0.007961959,11461.979,0.60396135,17.687572
0,0.07294323,0.006760817,2418.2715,0.22158901,5.18219
0,0.027222037,0.012474043,2892.661,0.1355467,19.139135
0,0.19959766,0.002941954,4919.0903,0.8504602,31.049612
0,0.21503302,0.0096415905,225.3618,0.08940911,1.6213208
0,0.10115309,0.007159227,808.6936,0.06744214,3.7283444
0,0.7979531,0.005979073,31.943659,0.010932013,0.37942785
1,0.016259294,0.010762246,15172.342,0.69697434,43.419724
1,0.012187893,0.02136358,4759.8965,0.36648548,49.583046
0,2.3363702,0.0010924848,2519.5845,3.5734794,6.2434616
0,0.16735777,0.0061299973,337.40823,0.06621397,1.2021222
0,0.06293713,0.0070585296,3555.5408,0.2541489,6.2639203
0,0.06372954,0.0083813835,1529.9874,0.10159066,6.3131123
0,0.036013693,0.006667981,4002.1606,0.093295686,17.24085
1,0.6885391,0.010257452,11.980137,0.016011149,0.47317585
0,1.8153665,0.008579883,11.843438,0.02436555,0.24858144
0,0.049145523,0.006237875,5146.5703,0.29287136,7.5874987
0,1.4265248,0.013335955,11.825095,0.032216746,0.37238732
0,0.10706366,0.010093086,280.57764,0.04603294,2.7878184
0,0.040294368,0.007482805,3526.7717,0.1059543,14.236489
0,0.4424031,0.0022105963,7226.2637,0.663051,35.039825
0,1.7250087,0.011279901,26.210205,0.07636033,0.5907942
0,0.8504738,0.0061269146,77.426605,0.12904367,0.7435597
0,2.514163,0.008418153,18.465662,0.1476063,0.39249936
0,0.051782414,0.011565431,1654.1654,0.10976991,7.913138
0,0.46608955,0.0047764136,1093.415,0.45989558,3.1938584
0,0.09704802,0.0065455604,4470.516,0.67047244,38.516747
0,1.1649535,0.011025775,61.84374,0.024770005,2.81386
0,0.035337336,0.005882837,12933.649,0.41153073,13.301353
0,2.2674773,0.004834744,153.8395,0.22567518,1.5278813
0,0.26672906,0.008874918,470.25378,0.336016,5.267273
0,0.06900393,0.0066504697,3078.711,0.22056806,4.4958577
0,0.06846467,0.012581566,4299.0093,0.25048175,19.792936
0,0.075790666,0.009941944,1009.92694,0.14078364,5.7770596
0,3.156203,0.0053726397,9.703952,0.01657696,0.17071158
0,4.4863853,0.008949483,1.3406492,0.006812128,0.049028534
0,0.077252075,0.005467359,3954.715,0.17508395,5.403428
0,3.29462,0.0060736057,9.425567,0.023949498,0.16908567
0,0.10843565,0.0032753719,11361.929,1.2435433,36.49417
0,0.053578272,0.0069534304,4329.241,0.19107649,7.049286
0,0.1135966,0.0077559818,1033.1384,0.11772701,3.9977698
0,0.021233559,0.007372954,14658.459,0.3405251,27.638538
0,0.06619913,0.010398847,379.06335,0.043670088,2.9709651
0,0.055177316,0.009935266,1687.0023,0.21819048,6.334971
0,0.101662934,0.0062232665,804.47705,0.053295348,2.8343828
0,0.1007948,0.011827815,3456.1965,0.30072877,15.68088
0,0.025009021,0.006686762,16455.281,0.35870394,20.292141
0,0.6185444,0.007373611,74.25369,0.03798287,0.9549493
0,0.39001063,0.012282095,34.929085,0.033443093,1.1788793
0,0.21915393,0.006310296,257.57794,0.028421264,2.4055407
0,0.08237376,0.0070562535,2824.4663,0.19558865,5.495573
0,0.13729058,0.006863454,9236.62,0.5618691,31.142735
