label,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance
0,20.026316,0.043917358,85.39572,1795.6536,30.66886,57003.54,3.5227356,0.0031516906,160.32455,0.35158896,0.6154465,1044.4805,0.00067672273,6.6218815,0.34259954,22.149118
0,6.5064936,0.08449992,14.93439,1698.065,2350.1948,3894804.5,1.426745,0.0006100297,23.467533,0.30477315,0.5699027,993.77405,0.00034016467,5.2925067,0.05785124,2051.399
0,19.822823,0.059527997,23.418518,174.7898,167.34834,42029.293,5.9089212,0.01744287,124.315315,0.37331927,0.63367605,105.21098,0.008824307,5.8465667,0.2501878,151.37236
0,17.029543,0.02515442,169.01001,2605.3147,11.197932,26650.264,2.6089675,0.0021041112,321.07977,0.4742685,0.71601135,1795.268,0.0004969995,6.898759,0.5086401,7.3326716
0,4.804878,0.11719215,12.659131,294.2439,5395.244,1050061.9,1725.9012,0.027961258,4.707317,0.11481261,0.3036013,91.399055,0.0011597212,5.144018,0.030803908,4341.3706
0,18.364943,0.026386412,173.76437,3309.7644,7.9985633,29832.355,0.0026392592,0.0004771354,322.3046,0.46308133,0.7074729,2247.1643,0.00036579114,6.875167,0.5229151,4.3414564
0,11.740741,0.14494741,6.578875,174.61728,4927.2964,961703.44,25.457052,0.0068806307,24.851852,0.30681297,0.5728296,97.61477,0.0041945404,4.8483686,0.0608565,4657.282
0,21.23477,0.031552408,106.07391,2553.6033,10.967311,27534.025,0.0046591535,0.00054575136,313.948,0.46649033,0.7102036,1821.7993,0.00041511768,6.705391,0.50563484,7.055967
0,9.621622,0.01444688,427.25726,2573.7568,243.1096,9091.005,240.24342,0.002822099,411.15317,0.61734706,0.81327003,2054.1152,0.0010745047,7.053336,0.5003756,239.11562
0,13.525836,0.020555982,213.15712,3825.2036,13.533435,44515.473,0.004491704,0.00036723062,298.12158,0.4530723,0.69961756,2698.1682,0.00026759057,7.150384,0.49436513,9.44173
0,10.301294,0.019041209,394.21228,2241.782,40.49353,83022.555,18.497347,0.004798105,267.77264,0.49495867,0.7307043,1483.6718,0.002230485,7.072599,0.4064613,34.44066
0,15.868167,0.051023047,30.820545,1035.7717,88.832794,88174.06,0.09505462,0.0010970328,89.803856,0.2887584,0.5540397,575.6103,0.0006135161,6.464686,0.23365891,70.5166
0,8.706806,0.022792686,173.70981,1428.39,101.12827,135742.4,0.08289443,0.0016024187,163.31937,0.42753762,0.6792481,981.52014,0.0010577863,6.891354,0.28700227,88.987976
0,3.8,0.19,2.2275,85.95,34001.25,3173364.8,368.34952,0.012936725,3.3,0.165,0.35845155,30.572872,0.0048412345,4.0219283,0.015026296,29572.348
0,14.217949,0.045570347,46.089867,1291.3654,243.875,276399.22,0.21770951,0.00093709293,124.20513,0.39809337,0.655365,831.9041,0.0006437216,6.257542,0.23441021,225.67603
0,13.892768,0.034645308,89.07466,817.4015,99.04489,105201.37,0.10170186,0.0027648634,166.17207,0.4143942,0.66852456,510.51752,0.002050821,6.506737,0.30127725,88.02779
0,18.875229,0.03463345,78.56452,3120.1377,17.697248,65659.19,0.0051488043,0.0003715517,209.52844,0.38445586,0.6443231,1965.6964,0.00025299963,6.745279,0.40946656,11.732898
