label,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis
0,84.70417,0.07036227,52.442482,1601.9274,1.3491629,2168.5251,0.0022967884,0.0020601568,4.7858663,1000.44403,0.83022976,0.90440965,0.12450156,0.9285537,1485.5486,0.0020110223
0,87.22559,0.07220229,28.607477,920.3637,1.3361375,1200.88,0.0045006336,0.0035585873,4.64964,1007.5583,0.8334226,0.9074149,0.119431,0.930221,861.7813,0.0034135687
0,64.36725,0.05214613,29.411512,2050.2893,1.2499667,2566.709,0.0006459176,0.00051873643,4.834385,1068.748,0.8651113,0.92741144,0.08568343,0.94470346,1936.229,0.0004905499
0,46.34252,0.03700789,112.77666,2226.3093,1.2028912,2730.623,0.0029134413,0.0025818315,5.3672037,1116.7441,0.89094067,0.9408195,0.07116763,0.955804,2116.874,0.002501823
0,32.67697,0.0259533,130.3058,1022.2178,1.1855314,1164.0938,0.002635059,0.002202006,5.7275863,1134.3201,0.90036726,0.9459053,0.06653932,0.9599107,990.87744,0.0021083218
0,33.322514,0.027967721,539.56323,4316.15,1.5467106,4934.079,0.4824891,0.057953686,5.8759336,1021.3314,0.8577594,0.8944114,0.2940718,0.93949074,4174.8633,0.025586596
0,47.147255,0.038774986,68.000435,2220.125,1.3110659,2920.9995,0.00072779035,0.00057542225,5.324279,1027.3712,0.8439996,0.913541,0.11029748,0.9350282,2074.151,0.0005434207
0,45.1838,0.03616677,150.82465,1817.1952,1.2128748,2228.502,0.009960314,0.0060577285,5.4940405,1109.9197,0.88772,0.93856555,0.07589999,0.95441866,1729.5524,0.005164909
0,203.77422,0.36470085,0.604379,45.262264,10.387275,463.4665,0.24055456,0.023324473,3.880567,154.92894,0.26429218,0.41842455,3.3760397,0.48961908,22.192955,0.011582412
0,46.551853,0.03725842,106.270905,2571.5747,1.2138339,3182.216,0.0031404532,0.0028625764,5.39661,1111.0007,0.8885912,0.93862337,0.07710436,0.9547793,2443.6726,0.002795951
0,41.963657,0.047569986,560.28485,1568.3926,4.820569,1702.9777,3.9338703,0.18329847,6.0428104,600.94305,0.6966976,0.65011847,2.4246087,0.84972036,1537.0951,0.04974004
0,52.481907,0.04237429,179.84409,2269.0332,1.2410249,2828.928,0.0020290387,0.0018029261,5.4142303,1081.6482,0.8729395,0.93047446,0.08498835,0.9481271,2148.3462,0.0017518597
0,167.31406,0.18228729,3.0146275,240.13025,3.3079839,782.9939,0.0155136315,0.005480655,3.9707992,509.6107,0.54373163,0.68751085,0.9574837,0.7598038,183.32047,0.004437414
0,65.77006,0.054762416,37.9376,1409.3975,1.3660954,1946.8292,0.00109698,0.0008291422,4.943243,995.7484,0.82789,0.9021557,0.13355663,0.927312,1302.4419,0.00077566656
0,43.245358,0.040419854,371.43976,1735.6233,2.4593062,2131.8892,1.4062297,0.11722289,5.710448,810.6361,0.7634974,0.7979541,0.8738618,0.8930813,1650.0931,0.047452282
0,145.86171,0.15064543,5.9342604,196.99855,2.7255812,562.0847,0.015222024,0.0065978584,4.1622186,573.3617,0.58470625,0.72432524,0.7195863,0.7888021,152.29826,0.0055163666
