no,feature1,feature2,corrcoef
1096,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.740567906027025
1101,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.6533102355669752
1102,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glszm_LargeAreaHighGrayLevelEmphasis.nrrd,0.7025204737138193
1103,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.6443897896319889
1104,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.6795432141404799
1109,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.6272249642032542
1112,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,original_glszm_ZoneVariance.nrrd,0.5095442864406544
1118,original_firstorder_RootMeanSquared.nrrd,original_firstorder_Skewness.nrrd,-0.286441709
1123,original_firstorder_RootMeanSquared.nrrd,original_glcm_ClusterProminence.nrrd,0.7147255917073478
1124,original_firstorder_RootMeanSquared.nrrd,original_glcm_ClusterShade.nrrd,-0.22511557
1139,original_firstorder_RootMeanSquared.nrrd,original_glcm_JointEnergy.nrrd,0.7684467232698993
1156,original_firstorder_RootMeanSquared.nrrd,original_gldm_LowGrayLevelEmphasis.nrrd,0.7489784139225266
1159,original_firstorder_RootMeanSquared.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.618577628505798
1166,original_firstorder_RootMeanSquared.nrrd,original_glrlm_LongRunLowGrayLevelEmphasis.nrrd,0.7652826341031083
1167,original_firstorder_RootMeanSquared.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.7436225202776481
1175,original_firstorder_RootMeanSquared.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.7377978261288645
1180,original_firstorder_RootMeanSquared.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.7572423455573535
1181,original_firstorder_RootMeanSquared.nrrd,original_glszm_LargeAreaHighGrayLevelEmphasis.nrrd,0.7924950075242052
1182,original_firstorder_RootMeanSquared.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.7314395395274871
1183,original_firstorder_RootMeanSquared.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.6738954280047974
1188,original_firstorder_RootMeanSquared.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.6133374800433484
1191,original_firstorder_RootMeanSquared.nrrd,original_glszm_ZoneVariance.nrrd,0.6173117182077846
1197,original_firstorder_Skewness.nrrd,original_firstorder_TotalEnergy.nrrd,-0.25708298
1198,original_firstorder_Skewness.nrrd,original_firstorder_Uniformity.nrrd,-0.253705454
1199,original_firstorder_Skewness.nrrd,original_firstorder_Variance.nrrd,-0.336236324
1200,original_firstorder_Skewness.nrrd,original_glcm_Autocorrelation.nrrd,-0.274665283
1201,original_firstorder_Skewness.nrrd,original_glcm_ClusterProminence.nrrd,-0.342312197
1202,original_firstorder_Skewness.nrrd,original_glcm_ClusterShade.nrrd,0.7853755650902026
1203,original_firstorder_Skewness.nrrd,original_glcm_ClusterTendency.nrrd,-0.303122503
1204,original_firstorder_Skewness.nrrd,original_glcm_Contrast.nrrd,-0.445694118
1205,original_firstorder_Skewness.nrrd,original_glcm_Correlation.nrrd,-0.200025267
1206,original_firstorder_Skewness.nrrd,original_glcm_DifferenceAverage.nrrd,-0.380588761
1207,original_firstorder_Skewness.nrrd,original_glcm_DifferenceEntropy.nrrd,-0.329486619
